program_name,state,city,zip_code,incentive_type,service_category,property_type,description,eligibility_criteria,incentive_amount,valid_until,updated_at,program_links,quarantine_reason
Building Energy Code,Florida,,,,,,"Much of the information presented in this summary is drawn from the U.S. Department of Energy’s (DOE) Building Energy Codes Program and the Building Codes Assistance Project (BCAP). For more detailed information about building energy codes, visit the DOE and BCAP websites. The Florida Building Commission (FBC) is directed to adopt, revise, update, and maintain the Florida Building Code in accordance with Chapter 120 of the state statutes. The code is mandatory throughout the state and need not be adopted by a local government to be applicable at the local level. An online copy of the Florida S",,,,"June 18, 2023",https://www.energycodes.gov/status/states/florida,out of scope: Building Energy Code; amount: missing incentive_amount
Federal Appliance Standards,Florida,,,,,,"Note: HR 6582 of 2012 made some modifications to the efficiency standards previously adopted for some appliance types. The bill did not adopt new standards for previously unregulated appliances, but made some minor changes to the requirements for walk-in coolers, walk-in freezers, water heaters, self-contained medium temperature commercial refrigerators, central air conditioners, and heat pumps. The bill also included some non-substantive technical corrections. For more information regarding federal or state energy efficiency standards please visit the Appliance Standards Awareness Project. M",Equipment Requirements: Specified in Code of Federal Regulations,,,"October 16, 2024",http://www.eere.energy.gov/buildings/appliance_standards,out of scope: Appliance/Equipment Efficiency Standards; amount: missing incentive_amount
City of Tallahassee Utilities - Grant Programs,Florida,,,Grants,,,The City of Tallahassee Utilities offers several grant programs for its customers. These programs include: Ceiling Insulation Grants Code Enforcement Rehabilitation Grants Energy-Efficiency Retrofit Grants The City of Tallahassee has also received funding from the State of Florida to fund the entire cost of connecting residents to the city sewer system (rather than reliance on septic tanks). Contact the utility or visit the program website for more details,,"Ceiling Insulation Grant : The City will pay 80% of the installed cost up to a maximum contribution of $400 (or 100% of the installed cost up to $500 maximum contribution for those who qualify by income). Energy-Efficiency Retrofit Grants : Up to $500 for repairs on evaporator coil cleaning, refrigerant leak repair and charging, duct leak repair, and hot water leak repair",,"March 16, 2026",http://www.talgov.com/you/you-products-home-index.aspx,"amount: suspiciously high amount: $500,000,000 — verify"
USDA - Rural Energy for America Program (REAP) Loan Guarantees,Florida,,,Finance Solutions,,,"The Rural Energy for America Program (REAP) provides financial assistance to agricultural producers and rural small businesses in rural America to purchase, install, and construct renewable energy systems, make energy efficiency improvements to non-residential buildings and facilities, use renewable technologies that reduce energy consumption, and participate in energy audits and renewable energy development assistance. Renewable energy projects for the Renewable Energy Systems and Energy Efficiency Improvement Guaranteed Loan and Grant Program include wind, solar, biomass and geothermal",,,,"October 9, 2024",https://www.rd.usda.gov/programs-services/energy-programs/rural-energy-america-program-renewable-energy-systems-energy-efficiency-improvement-guaranteed-loans,amount: missing incentive_amount
Interconnection Standards for Small Generators,Florida,,,,,,"NOTE: In July 2016, FERC issued Order 828 revising the Small Generation Interconnection Agreement (SGIA) to require newly interconnecting small generators under 20 MW to ride through abnormal frequency and voltage events and not be disconnected during such events. Origin Through its Orders 792 and 792-A, the Federal Energy Regulatory Commission (FERC) adopted new ""small generator"" interconnection standards for distributed energy resources up to 20 megawatts (MW) in capacity in November 2013 and September 2014, respectively. These standards made revisions to those promulgated by FERC in May 200",,,,"June 4, 2024",https://www.ferc.gov/electric-transmission/generator-interconnection/standard-interconnection-agreements-and-procedures,out of scope: Interconnection; amount: missing incentive_amount
U.S. Department of Energy - Loan Guarantee Program,Florida,,,Finance Solutions,,,"Note: The Inflation Reduction Act ( H.R. 5376 ) made several changes to this program. It appropriated approximately $11.7 billion in total for the Loan Programs Office (LPO) to support issuing new loans. This, in turn, increased the loan authority in LPO’s existing loan programs by approximately $100 billion. The Inflation Reduction Act also adds a new loan program, the Energy Infrastructure Reinvestment (EIR) Program (section 1706), to help retool, repower, repurpose, or replace energy infrastructure that has ceased operations or to improve the efficiency of infrastructure that is currently o",,,,"September 8, 2022",http://energy.gov/lpo/loan-programs-office,amount: missing incentive_amount
"USDA - Biorefinery, Renewable Chemical, and Biobased Product Manufacturing Assistance Program",Florida,,,Finance Solutions,,,"Note: Applications are accepted year round. Financial investment decisions are made twice a year. See program website to learn more about the current status. USDA Rural Development is offering loan guarantees for the development, construction, and retrofitting of commercial-scale biorefineries. Eligible borrowers include individuals, entities, Indian tribes, state or local governments, corporations, farm cooperatives or farm cooperative organizations, associations of agricultural producers, National Laboratories, institutions of higher education, rural electric cooperatives, public power entit",,,,"May 16, 2025",https://www.rd.usda.gov/programs-services/biorefinery-renewable-chemical-and-biobased-product-manufacturing-assistance,amount: missing incentive_amount
USDA - Rural Energy for America Program (REAP) Energy Audit and Renewable Energy Development Assistance (EA/REDA) Program,Florida,,,Grants,,,"Note: The U.S. Department of Agriculture's Rural Development periodically issues Notices of Solicitation of Applications for the Rural Energy for America Program (REAP) in the Federal Register. The program is currently accepting applications through January 31, 2025. The Renewable Energy for America Program (REAP) Energy Audit and Renewable Energy Development Assistance Program (EA/REDA) provides assistance to agricultural producers and rural small businesses for energy audits and renewable energy technical assistance including renewable energy site assessments. Applicants must submit separate",,,,"August 28, 2024",http://www.rd.usda.gov/programs-services/rural-energy-america-program-energy-audit-renewable-energy-development-assistance,amount: missing incentive_amount
Fannie Mae Green Financing – Loan Program,Florida,,,Finance Solutions,,,"NOTE: Only multifamily properties are eligible for the program. Single family homeowners are not eligible for this program. The Fannie Mae Green Financing Business provides mortgage financing to apartment buildings and cooperatives (with 5 or more units) to finance energy and water efficiency property improvements. Its green financing programs include Green Rewards, and preferential pricing for loans secured by a property with an eligible Green Building Certification. All Fannie Mae green loans are securitized as Green Mortgage Backed Securities (Green MBS). To learn more about these programs",,,,"May 16, 2025",https://multifamily.fanniemae.com/financing-options/specialty-financing/green-financing/green-financing-loans,amount: missing incentive_amount
Net Metering,Florida,,,,,,"The Florida Public Service Commission (PSC) adopted rules for net metering and interconnection for renewable-energy systems up to 2 MW in capacity for investor owned utilities and also requires municipal utilities and electric cooperatives to offer net metering without stipulating standards. Net metering is available to customers who generate electricity using solar energy, geothermal energy, wind energy, biomass energy, ocean energy, hydrogen, waste heat or hydroelectric power. Utilities must file annual reports with the Florida PSC indicating the number of customer-generators and the size, t",,,,"January 2, 2026",https://programs.dsireusa.org/system/program/detail/2880,out of scope: Net Metering; amount: missing incentive_amount
Interconnection Standards,Florida,,,,,,"In March 2008, the Florida Public Service Commission (PSC) adopted interconnection rules for renewable-energy systems up to two megawatts (MW) in capacity. The PSC rules apply only to the state&#39;s investor-owned utilities; the rules do not apply to electric cooperatives or municipal utilities. Florida&#39;s interconnection rules include provisions for three tiers of renewable-energy systems: Tier 1: 10 kilowatts (kW) or less Tier 2: Larger than 10 kW, but not larger than 100 kW Tier 3: Larger than 100 kW, but not larger than 2 MW To qualify for expedited interconnection under the PSC rules",,,,"January 2, 2026",https://programs.dsireusa.org/system/program/detail/2882,out of scope: Interconnection; amount: missing incentive_amount
Miami-Dade County - Green Building Expedited Plan Review,Florida,,,Grants,,,"In an effort to promote environmentally sensitive design and construction, the Miami-Dade County Commissioners passed an ordinance in June 2005 to expedite the permitting process for “green” buildings certified by a recognized environmental rating agency. Commercial, industrial, and residential projects are all eligible as long as they are located in unincorporated Miami-Dade County and the City of West Miami. Additionally, solar water heating and solar photovoltaic projects are included in the ""fast track"" for permitting review. Project must meet the following criteria: 1. Limited to new cons",,,,"January 2, 2026",https://www.miamidade.gov/permits/home.asp?cat=build&subcat=plan&filter1=green,amount: missing incentive_amount
Florida PACE programs,Florida,,,Finance Solutions,,,"Note: In 2010, the Federal Housing Finance Agency (FHFA), which has authority over mortgage underwriters Fannie Mae and Freddie Mac, directed these enterprises against purchasing mortgages of homes with a PACE lien due to its senior status above a mortgage. Most residential PACE activity subsided following this directive; however, some residential PACE programs are now operating with loan loss reserve funds, appropriate disclosures, or other protections meant to address FHFA's concerns. Commercial PACE programs were not directly affected by FHFA’s actions, as Fannie Mae and Freddie Mac do not",,,,"January 2, 2026",https://floridapace.gov/about-pace/,amount: missing incentive_amount
Energy Efficiency Goals,Florida,,,,,,"Origin In 1980, Florida enacted the Florida Energy Efficiency and Conservation Act (FEECA), creating Florida Statutes Section 366.80-366.853 and Section 403.519. Section 366.82(6) requires the Florida Public Service Commission to review the conservation goals of each utility subject to FEECA at least every five years. Utilities whose annual sales amount to less than 2,000 GWh as of July 1, 1993, are not subject to FEECA. This leaves all five Florida investor-owned utilities (Florida Power & Light Company, Progress Energy Florida Inc., Tampa Electric Company, Gulf Power Company, and Florida Pub",,,,"January 2, 2026",https://programs.dsireusa.org/system/program/detail/4505,out of scope: Energy Efficiency Resource Standard; amount: missing incentive_amount
JEA - Residential Energy Efficiency Rebate Program,Florida,,,Rebates,,Residential,"JEA is offering rebates for home energy efficiency improvements. LED rebates are deducted immediately at the point of sale. Interested customers can find a list of participating retailers on the program web site For more information on all programs and incentives, visit the utility's web site","Eligible technologies: Air conditioners, Clothes Washers, Combined Heat & Power, Dehumidifiers, Dishwasher, HVAC, Insulation, Programmable Thermostats, Water Heaters","Air Purifier: $15 Dehumidifier: $15 Smart Thermostat: $25 HVAC Tune-Up: Up to $50 Heat Pump Water Heater: $250 Room Air Conditioner: $15 Attic Insulation: $200 Clothes Washer: $75 Dishwasher: $50 Heating and Cooling System: Up to $200 Irrigation Controller: Up to $250 Landscape Transformation: Up to $1,000 Multi-Stream Rotational Nozzle Heads: $5 per Head Solar Water Heating: $400 Toilet Replacement: Up to $250",,"July 2, 2024",https://www.jea.com/Ways_to_Save/Residential_Rebates/,"amount: suspiciously high amount: $1,000,000,000 — verify"
Miami-Dade County - Sustainable Buildings Program,Florida,,,,,,"In 2005, the Miami-Dade Board of County Commissioners passed a resolution to incorporate sustainable building measures into county facilities. In 2007, Ordinance 07-65 created the Sustainable Buildings Program in the County Code, and Implementing Order 8-8 established specific guidelines for county facilities. A subsequent Implementing Order (IO) 8-8 ordered in 2022 an update to the previous program. IO 8-8 (2022) supersedes the previous IO (2007), ongoing projects must comply with the previous IO until they are completed. Any future renovations, additions, or upgrades to ongoing projects must",,,,"June 17, 2024",https://sustainable-buildings-program.miamidade.gov/pages/sbp-detailed-information,out of scope: Energy Standards for Public Buildings; amount: missing incentive_amount
Miami-Dade County - Florida PACE Finance Programs,Florida,,,Finance Solutions,,,"Note: In 2010, the Federal Housing Finance Agency (FHFA), which has authority over mortgage underwriters Fannie Mae and Freddie Mac, directed these enterprises against purchasing mortgages of homes with a PACE lien due to its senior status above a mortgage. Most residential PACE activity subsided following this directive; however, some residential PACE programs are now operating with loan loss reserve funds, appropriate disclosures, or other protections meant to address FHFA's concerns. Commercial PACE programs were not directly affected by FHFA’s actions, as Fannie Mae and Freddie Mac do not",,,,"January 2, 2026",https://www.miamidade.gov/global/economy/resilience/energy.page,amount: missing incentive_amount
Broward County - Green Building Policy,Florida,,,,,,"In October 2008, Board of County Commissioners of Broward County passed a resolution creating the County Green Building Policy. All new County-owned and operated buildings must achieve a minimum Leadership in Energy and Environmental Design (LEED) rating of ""LEED Certified,"" meaning the project must attain a minimum of 26 points in the United States Green Building Council's (USGBC) rating system. All County projects deemed eligible for the program must register with the USGBC and must be certified by a third party green building rater. The Construction Management Division is responsible for co",,,,"June 7, 2024",https://www.broward.org/Facilities/Pages/Default.aspx,out of scope: Energy Standards for Public Buildings; amount: missing incentive_amount
City of Jacksonville - Sustainable Building Program Ordinance,Florida,,,,,,Chapter 327 of the Jacksonville Ordinance Code establishes the Sustainable Building Program for Jacksonville. The Sustainable Building Program mandates that all public buildings be certified by one of the following three standards (Sustainable Development Certification): LEED Green Building Initiative’s Green Globes Florida Green Building Coalition,,,,"July 15, 2024",https://www.municode.com/library/fl/jacksonville/codes/code_of_ordinances?nodeId=TITVIIICOREBUCO_CH327SUBUPR,out of scope: Energy Standards for Public Buildings; amount: missing incentive_amount
City of Miami - Green Building Density Bonus,Florida,,,Grants,,,"Allows bonus building capacity within the urban core zone for LEED-certified Silver, Gold, or Platinum buildings or for buildings in a T5 Transect zone within 1/2 mile of a Metrorail, Brightline, or Tri-Rail station certified by the Florida Green Building Coalition (FGBC). The capacities for buildings certified by the U.S. Green Building Council (USGBC) are as follows: Silver: For buildings under 50,000 sf, 2.0% of the floor lot ratio (FLR) Gold: 4.0% of the floor lot ratio (FLR) Platinum: 13.0% of the floor lot ratio (FLR) The capacities for buildings certified by the FGBC are as follows: Sil",,,,"May 9, 2024",https://www.miami.gov/My-Government/Climate-Change-in-the-City-of-Miami/Buildings-and-Land-Use,amount: missing incentive_amount
Broward County - Rooftop Solar System Permit Standard,Florida,,,,,,"This ordinance is intended to promote the health, safety, and general welfare of the citizens by removing barriers to the installation of alternative energy systems and encourage the installation of rooftop photovoltaic solar systems. There are no standards or guidelines within the code of ordinances that can prohibit the installation of rooftop solar systems as accessory equipment on residential or commercial buildings. The height of the rooftop photovoltaic solar systems cannot be higher than the roofline (top of the roof). For flat roofs, the system cannot be greater than five (5) feet abov",,,,"August 17, 2023",https://www.broward.org/Planning/Pages/Default.aspx,out of scope: Solar/Wind Permitting Standards; amount: missing incentive_amount
Hillsborough County - Solar and Wind Standards,Florida,,,,,,"The Land Development Code for Hillsborough County outlines the appropriate uses and guidelines for the operation of a solar energy production facility and a wind energy conversion system (WECS). For a solar facility in an agricultural zone, the proposed lot size shall be a minimum of five (5) acres. There should be a setback of 50 feet from all boundaries of the site. The solar panels should be ground mounted and have a maximum height of 15 feet. Ground-mounted facilities must be enclosed with a fence. On-site power lines and interconnections shall be placed underground. Facilities will be con",,,,"August 17, 2023",https://www.hillsboroughcounty.org/en/government/departments/development,out of scope: Solar/Wind Permitting Standards; amount: missing incentive_amount
Miami-Dade County - Solar System Permitting,Florida,,,,,,Under Miami-Dade's current permitting process PV projects may be permitted by submitting required documents through the Miami-Dade Department of Regulatory and Economic Resources Plan Status and Application Submittal Portal. Applicants seeking a permit for a solar PV system in Miami-Dade are required to submit the following items at the time of permit application: A completed Building Permit Application signed and notarized by the property owner and contractor. A completed Electrical Fee sheet signed by the contractor with the Electrical Category 34- Solar Photovoltaic information completed,,,,"August 17, 2023",https://www.miamidade.gov/global/permit.page?Mduid_permit=per1534367624683394,out of scope: Solar/Wind Permitting Standards; amount: missing incentive_amount
Duke Energy - Park and Plug Program,Florida,,,Rebates,,,"Note: Program is currently accepting applications Through the Park and Plug Program, Duke Energy will provide the equipment, installation, warranty and network connection services free of charge. This program has installed more than 600 new EV charging locations across the state. For more information, visit the program website",,,,"March 24, 2025",https://www.duke-energy.com/home/products/park-and-plug#tab-f55b54cf-e657-4add-ae66-5c4495d5f052,amount: missing incentive_amount
CIty of Jacksonville - Green Building Expedited Plan Review,Florida,,,Grants,,,"The City of Jacksonville offers expedited building plan review for projects achieving LEED certification. This program is available for new residential or commercial construction, residential or commercial retrofitting/remodeling and new City-owned buildings. Owners or developers of sustainable building program projects may receive a refund of the actual costs of sustainable building certification pursuant to the Sustainable Building Certification Refund Grant Program administered through the Environmental Protection Board. For more information, contact (904) 255-8310 or ECavin@coj.net",,,,"July 15, 2024",https://www.jacksonville.gov/departments/planning-and-development,amount: missing incentive_amount
CIty of Jacksonville - Sustainable Building Certification Grant Program,Florida,,,Grants,,,"Ordinance No. 2009-211 established the Sustainable Building Certification Grant Program to encourage the attainment of sustainable building certification. A temporary source of funds shall be used to reimburse developers for the actual costs of specific steps of the sustainable building certification process. This includes fees for application and inspection, but excludes any construction costs necessary to achieve sustainable building certification. The program is administered by the Environmental Protection Board. Grants shall be limited to $1,000 per certification",,,,"July 15, 2024",https://www.jacksonville.gov/departments/neighborhoods/environmental-quality/environmental-protection,amount: missing incentive_amount
CIty of Miami - Green Building Requirements,Florida,,,,,,"The City of Miami requires that all new private developments over 50,000 square feet located in specified zoning districts (T5, T6, CI and CS zones) to achieve LEED silver certification or an equivalent standards adopted or approved by the City",,,,"July 26, 2024",https://www.miami.gov/My-Government/Climate-Change-in-the-City-of-Miami/Buildings-and-Land-Use,out of scope: Building Energy Code; amount: missing incentive_amount
YOU THRIVE’s Weatherization Assistance program,Florida,,,Grants,Weatherization,Residential,The YOU THRIVE Weatherization Assistance program provides weatherization assistance to customers who do not qualify for Tampa Electric’s Weatherization program,Customers who do not qualify for Tampa Electric’s Weatherization program may be eligible for the YOU THRIVE Weatherization Assistance program,,,,https://www.tampaelectric.com/residential/saveenergy/neighborhoodweatherization/,amount: missing incentive_amount
Florida Housing Homebuyer Loan Program,Florida,,,Finance Solutions,,Residential,30-year fixed rate first mortgage loans to first time homebuyers through participating lenders and lending institutions throughout the State of Florida. Eligible borrowers may also participate in one of Florida Housing’s second mortgage programs to assist borrowers with down payment assistance and closing costs,"Minimum Credit Score of 640. Must work with an approved, participating, Program Lender. Approved Home Buyer Education is required to be completed. Your purchase price must be below the limits for the county in which you purchase. Your income must be below the limits for the county in which you purchase. You must meet the IRS definition of a first-time homebuyer which means, you cannot have owned AND occupied your primary residence for the last three years prior to purchase",,,,https://www.floridahousing.org/programs/homebuyer-overview-page,amount: missing incentive_amount
State Housing Initiatives Partnership Program (SHIP),Florida,Hillsborough County,"33508, 33509, 33510, 33511, 33527, 33530, 33534, 33547, 33548, 33549, 33550, 33556, 33558, 33559, 33563, 33564, 33565, 33566, 33567, 33569, 33570, 33572, 33573, 33578, 33579, 33584, 33586, 33592, 33594, 33596, 33598, 33602, 33603, 33604, 33605, 33606, 33607, 33609, 33610, 33611, 33612, 33613, 33614, 33615, 33616, 33617, 33618, 33619, 33620, 33621, 33624, 33625, 33626, 33629, 33634, 33635, 33637, 33647",Grants,Acquisition of property for affordable housing; Construction and gap financing; Down payment and closing cost assistance; Emergency repair; Impact fees; Matching for federal housing grants; Mortgage buy downs; New construction; Programs and home ownership counseling; Rehabilitation,Residential,The State Housing Initiatives Partnership (SHIP) program fosters public/private partnerships to create and preserve affordable housing. Funds are channeled to counties and eligible municipalities on an entitlement basis and are earmarked for this purpose by the William E. Sadowski Act,"At least 65% of each local government's SHIP funds must be used for home ownership, and 75% must be used for construction, rehabilitation, or emergency repairs. At least 30% of funds must be reserved for awards to very-low income households. Another 30% of funds must be awarded to low-income households. Up to 10% of funds may be used for administrative costs",,,,https://hcfl.gov/government/grants/affordable-housing-funding-sources,amount: missing incentive_amount
Community Development Block Grant (CDBG),Florida,Hillsborough County,"33508, 33509, 33510, 33511, 33527, 33530, 33534, 33547, 33548, 33549, 33550, 33556, 33558, 33559, 33563, 33564, 33565, 33566, 33567, 33569, 33570, 33572, 33573, 33578, 33579, 33584, 33586, 33592, 33594, 33596, 33598, 33602, 33603, 33604, 33605, 33606, 33607, 33609, 33610, 33611, 33612, 33613, 33614, 33615, 33616, 33617, 33618, 33619, 33620, 33621, 33624, 33625, 33626, 33629, 33634, 33635, 33637, 33647",Grants,Decent housing; Suitable living environment; Expanded economic opportunities,Residential,"The Community Development Block Grant (CDBG) Program is authorized under Title 1 of the Housing and Community Development Act of 1974, as amended. The primary objective of the Act is the development of viable urban communities",The CDBG regulations outline eligible activities and the national objective that each activity must meet,,,,https://hcfl.gov/government/grants/affordable-housing-funding-sources,amount: missing incentive_amount
Home Investment Partnership Program (HOME),Florida,Hillsborough County,"33508, 33509, 33510, 33511, 33527, 33530, 33534, 33547, 33548, 33549, 33550, 33556, 33558, 33559, 33563, 33564, 33565, 33566, 33567, 33569, 33570, 33572, 33573, 33578, 33579, 33584, 33586, 33592, 33594, 33596, 33598, 33602, 33603, 33604, 33605, 33606, 33607, 33609, 33610, 33611, 33612, 33613, 33614, 33615, 33616, 33617, 33618, 33619, 33620, 33621, 33624, 33625, 33626, 33629, 33634, 33635, 33637, 33647",Grants,New construction; Property acquisition; Homebuyer Assistance; Demolition / reconstruction; Energy improvements,Residential,"The HOME Investment Partnership Program (HOME) provides formula grants to states and localities that communities use - often in partnership with local nonprofit groups - to fund a wide range of activities that build, buy, and/or rehabilitate affordable housing for rent or homeownership, or provide direct rental assistance to low-income people",,,,,https://www.hud.gov/,amount: missing incentive_amount
HOME Investment Partnerships American Rescue Plan (HOME-ARP),Florida,Hillsborough County,"33508, 33509, 33510, 33511, 33527, 33530, 33534, 33547, 33548, 33549, 33550, 33556, 33558, 33559, 33563, 33564, 33565, 33566, 33567, 33569, 33570, 33572, 33573, 33578, 33579, 33584, 33586, 33592, 33594, 33596, 33598, 33602, 33603, 33604, 33605, 33606, 33607, 33609, 33610, 33611, 33612, 33613, 33614, 33615, 33616, 33617, 33618, 33619, 33620, 33621, 33624, 33625, 33626, 33629, 33634, 33635, 33637, 33647",Grants,Production or Preservation of Affordable Housing; Tenant-Based Rental Assistance (TBRA); Supportive Services; Purchase and Development of Non-Congregate Shelter,Residential,"The American Rescue Plan (ARP) provides to assist individuals or households who are homeless, at risk of homelessness, and other vulnerable populations by providing housing, rental assistance, supportive services, and non-congregate shelter, to reduce homelessness and increase housing stability across the country",,,,,https://www.hud.gov/,amount: missing incentive_amount
Emergency Solution’s Grant (ESG),Florida,Hillsborough County,"33508, 33509, 33510, 33511, 33527, 33530, 33534, 33547, 33548, 33549, 33550, 33556, 33558, 33559, 33563, 33564, 33565, 33566, 33567, 33569, 33570, 33572, 33573, 33578, 33579, 33584, 33586, 33592, 33594, 33596, 33598, 33602, 33603, 33604, 33605, 33606, 33607, 33609, 33610, 33611, 33612, 33613, 33614, 33615, 33616, 33617, 33618, 33619, 33620, 33621, 33624, 33625, 33626, 33629, 33634, 33635, 33637, 33647",Grants,Emergency shelter; Rapid re-housing; Homelessness prevention; Supportive services,Residential,The HESG program provides funding to: engage homeless individuals and families living on the street; improve the number and quality of emergency shelters for homeless individuals and families; help operate these shelters; provide essential services to shelter residences; rapidly re-house homeless individuals and families; prevent families and individuals from becoming homeless,,,,,https://www.thhi.org/,amount: missing incentive_amount
